LOCATION,JANUARY,FEBRUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YTD
Albany Park ,2794,2277,2819,2681,2484,2645,2770,2890,2635,,,,23995
Altgeld ,1231,857,765,828,904,1050,1405,1326,1145,,,,9511
Archer Heights ,1835,1706,1836,1743,1801,1694,1734,1888,1722,,,,15959
Austin ,1268,1066,1099,987,1112,1199,1326,1560,861,,,,10478
Austin-Irving ,1664,1559,1701,1628,1201,1509,1489,1724,1581,,,,14056
Avalon,4203,4346,4699,4553,4877,4297,4291,4786,4961,,,,41013
Back of the Yards,1839,1592,1895,1795,1501,1844,2318,2642,1753,,,,17179
Beverly,4006,3473,4000,4189,3924,3860,4120,4318,3857,,,,35747
Bezazian,2417,2270,2324,2431,2469,2572,2766,3200,2552,,,,23001
Blackstone,1773,1701,1892,1705,1881,2091,1973,2193,525,,,,15734
Brainerd,1497,1395,1598,1097,1422,1487,1697,1867,1417,,,,13477
Brighton Park ,1679,1466,1647,1402,1241,1452,1464,1710,1363,,,,13424
Bucktown-Wicker Park,1505,1239,1346,1357,1269,1571,1477,1631,1460,,,,12855
Budlong Woods,1586,1444,1698,1470,1150,1734,1789,1756,1572,,,,14199
Canaryville,835,673,680,663,707,810,834,979,885,,,,7066
Chicago Bee,999,952,1065,936,923,915,975,1174,1163,,,,9102
Chicago Lawn,1760,1533,1910,1879,1577,1942,2359,2630,2004,,,,17594
Chinatown ,2669,2538,3186,3134,2967,3441,3406,3800,3201,,,,28342
Clearing,1026,1051,1176,943,1005,975,920,1014,930,,,,9040
Coleman,2740,2214,2105,2319,2167,2323,2320,2645,2348,,,,21181
"Daley, Richard J.-Bridgeport",1456,1297,1546,1576,1480,1486,1542,1762,1533,,,,13678
"Daley, Richard M.-W Humboldt",3191,2652,2906,2963,2736,3061,3228,4231,3372,,,,28340
Douglass,1885,1671,1783,1593,1702,1657,1913,2102,834,,,,15140
Dunning,1485,1419,1673,1437,1589,1410,1083,1182,1111,,,,12389
Edgebrook,829,819,973,825,802,805,755,845,880,,,,7533
Edgewater,3951,3609,4121,3986,4083,4146,4126,4248,4095,,,,36365
Gage Park,826,714,833,760,778,822,813,955,639,,,,7140
Galewood Mont-Clare,0,0,0,0,0,0,0,0,0,,,,0
Garfield Ridge,1047,962,1031,1047,826,986,1064,1262,1083,,,,9308
Greater Grand Crossing,1992,1857,1984,2034,2037,1938,2059,2158,2198,,,,18257
Hall ,1512,1290,1388,1278,1365,1390,1378,1674,1719,,,,12994
